Year	Aruba	Andorra	Afghanistan	Angola	Albania	Arab World
2000	6.97		12.149	19.432	5.727	6.465841465
2001	7.02		11.878	18.77	5.677	6.393112174
2002	7.08		11.594	18.145	5.663	6.337712891
2003	7.147		11.302	17.574	5.691	6.290775313
2004	7.222	3.8	11.003	17.071	5.763	6.232533763
2005	7.305	3.6	10.696	16.635	5.873	6.172190418
2006	7.4	3.3	10.386	16.259	6.013	6.101462637
2007	7.507	2.8	10.075	15.918	6.167	6.032043561
2008	7.628	2.8	9.771	15.593	6.321	5.975119054
2009	7.761	3.2	9.475	15.275	6.466	5.907638481
2010	7.905	2.8	9.193	14.959	6.596	5.845962398
2011	8.054		8.927	14.642	6.71	5.791453161
2012	8.207	3.9	8.677	14.329	6.812	5.739888806
2013	8.361		8.445	14.021	6.905	5.692407166
